directory,file,title,year,decade,medium,filterMedium,dimensions,filterSize,status,holder,contact,tagAbstract,tagBlackAndWhite,tagDominicanRepublic,tagFigure,tagLandscape,tagLetter,tagMonhegan,tagPath,tagRepresentational,tagSeascape,tagStillLife,tagTondo
/frances_kornbluth/images/collection/,ocean_screen_study_4.jpg,Ocean Screen Study #4,,1970s,Collage,Collage,"10 x 17.5""",Small,Private,Carly Martin,,x,,,,,,,,,x,,
/frances_kornbluth/images/collection/,the_lamp.jpg,The Lamp,1961,1960s,Ink wash on paper,Ink,"23.63 x 18.5""",Medium,Public,Chrysler Museum of Art,,x,x,,,,,,,,,x,
/frances_kornbluth/images/collection/,morning_sea_monhegan.jpg,"Morning Sea, Monhegan",,Undated,Mixed media on paper,Mixed Media,finished size unavailable,Unavailable,Public,Colby College Art Museum,,x,,,,,,x,,,x,,
/frances_kornbluth/images/collection/,children_in_the_garden.jpg,Children In the Garden,1960,1960s,Oil on board,Oil,"22.5 x 35.5""",Large,Private,Colin Cummings,,x,,,x,,,,,,,,
/frances_kornbluth/images/collection/,early_light.jpg,Early Light,,Undated,Oil on canvas,Oil,"62 x 51""",Very Large,Private,Colin Cummings,,,,,,,,,,x,x,,
/frances_kornbluth/images/collection/,edge_of_the_sea_oil.jpg,Edge of the Sea,1959,1950s,Oil on Linen,Oil,"8 x 10""",Small,Private,Colin Cummings,,x,,,,,,,,,x,,
/frances_kornbluth/images/collection/,funeral.jpg,Funeral,1956,1950s,Oil on board,Oil,"25 x 11""",Large,Private,Colin Cummings,,x,,,x,,,,,,,,
/frances_kornbluth/images/collection/,island_imagery_1.jpg,Island Imagery #1,1968,1960s,Mixed media on paper,Mixed Media,"8.25 x 9.5""",Small,Private,Colin Cummings,,x,,,,,,x,,,,,
/frances_kornbluth/images/collection/,land_sea_sky.jpg,"Land, Sea and Sky",1957,1950s,Acrylic on paper,Acrylic,"6 x 7""",Small,Private,Colin Cummings,,x,,,,,,,,,x,,
/frances_kornbluth/images/collection/,low_tide.jpg,Low Tide,1955,1950s,Oil on canvas,Oil,"19.5 x 15.5""",Large,Private,Colin Cummings,,x,,,,,,,,,x,,
/frances_kornbluth/images/collection/,lyric.jpg,Lyric,,1960s,Ink on paper,Ink,"24 x 17.5""",Large,Private,Colin Cummings,,x,x,,,,,,,,,,
/frances_kornbluth/images/collection/,november.jpg,November,1957,1950s,Oil on canvas,Oil,"41.5 x 35.5""",Very Large,Private,Colin Cummings,,x,,,,,,,,,,,
/frances_kornbluth/images/collection/,ocean.jpg,Ocean: View of Blackhead,1985,1980s,Acrylic on paper,Acrylic,"15.5 x 13""",Medium,Private,Colin Cummings,,x,,,,,,x,,,x,,
/frances_kornbluth/images/collection/,red_rock_green_sea.jpg,"Red Rock, Green Sea",1963,1960s,Oil on board,Oil,"37 x 22.5""",Large,Private,Colin Cummings,,x,,,,,,,,,,,
/frances_kornbluth/images/collection/,rock_sea_sky.jpg,"Rock, Sea and Sky",1960,1960s,Watercolor on paper,Watercolor,"19 x 16""",Large,Private,Colin Cummings,,x,,,,,,x,,,x,,
/frances_kornbluth/images/collection/,self_portrait.jpg,Self Portrait,1954,1950s,Watercolor on paper,Watercolor,"14 x 19""",Medium,Private,Colin Cummings,,x,,,x,,,,,,,,
/frances_kornbluth/images/collection/,cathedral_woods_path_sketch.jpg,Sketch for Cathedral Woods Path,1989,1980s,Mixed media on paper,Mixed Media,"6.5 x 6.5""",Small,Private,Colin Cummings,,,x,,,x,,x,x,x,,,
/frances_kornbluth/images/collection/,still_life.jpg,Still Life,1956,1950s,Oil on canvas,Oil,"10.25 x 16.25""",Small,Private,Colin Cummings,,x,,,,,,,,,,x,
/frances_kornbluth/images/collection/,summers_vocabulary_1.jpg,Summer's Vocabulary #1,1959,1950s,Oil on linen,Oil,"45 x 43""",Very Large,Private,Colin Cummings,,x,,,,,,x,,,,,
/frances_kornbluth/images/collection/,outsider.jpg,The Outsider,1959,1950s,Mixed media on paper,Mixed Media,"8.5 x 8""",Small,Private,Colin Cummings,,x,,,,,,,,,,,
/frances_kornbluth/images/collection/,the_rush_of_summer.jpg,The Rush of Summer,1958,1950s,Oil on linen,Oil,"48 x 39.5""",Very Large,Private,Colin Cummings,,x,,,,,,,,,,,
/frances_kornbluth/images/collection/,to_the_city.jpg,To the City,1956,1950s,Watercolor on paper,Watercolor,"10 x 13.25""",Small,Private,Colin Cummings,,x,,,,,,,,,x,,
/frances_kornbluth/images/collection/,trees.jpg,Trees,1962,1960s,Mixed media on paper,Mixed Media,"4 x 5.5""",Small,Private,Colin Cummings,,x,x,,,x,,,,,,,
/frances_kornbluth/images/collection/,untitled_c1.jpg,Untitled,1957,1950s,Acrylic on paper,Acrylic,"16 x 22""",Large,Private,Colin Cummings,,x,,,,,,,,,,,
/frances_kornbluth/images/collection/,untitled_c2.jpg,Untitled,,1960s,Ink on paper,Ink,"24 x 17.5""",Large,Private,Colin Cummings,,x,x,,,,,,,,,,
/frances_kornbluth/images/collection/,untitled_squares.jpg,Untitled Squares,1965,1960s,Acrylic on paper,Acrylic,"15.5 x 13""",Large,Private,Colin Cummings,,x,,,,,,,,,,,
/frances_kornbluth/images/collection/,germination.jpg,Germination,1985,1980s,Acrylic on handmade paper,Acrylic,"28 x 42""",Very Large,Private,Cyn Richardson,,x,x,,,,,,,,,,
/frances_kornbluth/images/collection/,couvert.jpg,Couvert,,2000s,Collage on paper,Collage,"13"" diameter",Small,Private,Dana and Gayle Bennett,,x,x,,,,,,,,,,x
/frances_kornbluth/images/collection/,night_flower_music.jpg,Night Flower Music,,2000s,Collage on paper,Collage,"13"" diameter",Small,Private,Dana and Gayle Bennett,,x,x,,,,,,,,,,x
/frances_kornbluth/images/collection/,oxidation.jpg,Oxidation,,2000s,Collage on paper,Collage,"13"" diameter",Small,Private,Dana and Gayle Bennett,,x,x,,,,,,,,,,x
/frances_kornbluth/images/collection/,edifice.jpg,Edifice,,2000s,Collage on paper,Collage,"13"" diameter",Small,Private,Dana Hilt,,x,x,,,,,,,,,,x
/frances_kornbluth/images/collection/,containment.jpg,Containment,,2000s,Collage on paper,Collage,"13"" diameter",Small,Private,Dr. Sue V Mencki,,x,x,,,,,,,,,,x
/frances_kornbluth/images/collection/,enigma.jpg,Enigma,,2000s,Collage on paper,Collage,"13"" diameter",Small,Private,Dr. Sue V Mencki,,x,x,,,,,,,,,,x
/frances_kornbluth/images/collection/,changing_light_monhegan_ice_pond.jpg,"Changing Light, Monhegan Ice Pond",1989,1980s,Acrylic on linen,Acrylic,"59 x 43""",Very Large,Private,Joan Cummings,,x,,,,x,,x,,,,,
/frances_kornbluth/images/collection/,edge_of_the_sea_10.jpg,Edge of the Sea #10,2001,2000s,Monotype on paper,Monotype,"13.2 x 22""",Medium,Private,Joan Cummings,,x,,,,,,,,,x,,
/frances_kornbluth/images/collection/,edge_of_the_sea_11.jpg,Edge of the Sea #11,2001,2000s,Monotype on paper,Monotype,"15 x 22""",Medium,Private,Joan Cummings,,x,,,,,,,,,x,,
/frances_kornbluth/images/collection/,ocean_ligtht_from_whitehead.jpg,Ocean Light from Whitehead,1976,1970s,Watercolor on paper,Watercolor," 9.5 x 6""",Small,Private,Joan Cummings,,x,,,,,,x,,,x,,
/frances_kornbluth/images/collection/,winter_landscape.jpg,Winter Landscape,,1990s,Collage on paper,Collage,"22 x 30""",Large,Private,Joan Cummings,,x,,,,x,,,,,,,
/frances_kornbluth/images/collection/,black_white_squares.jpg,Black and White Squares,,1960s,Watercolor on paper,Watercolor,"21.5 x 18""",Large,Private,Justin Wirtalla,,x,,,,,,,,,,,
